Files will be save in ../data/setup4/2026_06_09/plus0mm\3
"TUE,PYNQRYB,February 2025,1.4"
Motor stopped at zero point
[3.5e+00 1.8e+04 1.0e+03] R^2: -7377.2451408279485
[3.5e+00 1.8e+04 1.0e+03] R^2: -7238.763244025382
[3.5e+00 1.8e+04 1.0e+03] R^2: -7204.255875948816
[3.5e+00 1.8e+04 1.0e+03] R^2: -7195.689506314724
[3.5e+00 1.8e+04 1.0e+03] R^2: -7133.499088070243
[3.5e+00 1.8e+04 1.0e+03] R^2: -7077.39037017527
[3.5e+00 1.8e+04 1.0e+03] R^2: -7064.145001780977
[3.5e+00 1.8e+04 1.0e+03] R^2: -7039.614161404159
[3.5e+00 1.8e+04 1.0e+03] R^2: -6968.747543818931
[3.5e+00 1.8e+04 1.0e+03] R^2: -6935.919430232958
[3.5e+00 1.8e+04 1.0e+03] R^2: -6933.788158206776
[3.5e+00 1.8e+04 1.0e+03] R^2: -6930.135435199846
[3.5e+00 1.8e+04 1.0e+03] R^2: -6914.652481632565
[3.5e+00 1.8e+04 1.0e+03] R^2: -6908.258163257443
[3.5e+00 1.8e+04 1.0e+03] R^2: -6906.460786175865
[3.5e+00 1.8e+04 1.0e+03] R^2: -6913.239227487445
[3.5e+00 1.8e+04 1.0e+03] R^2: -6898.452532226539
[3.5e+00 1.8e+04 1.0e+03] R^2: -6854.6976490594625
[3.5e+00 1.8e+04 1.0e+03] R^2: -6841.514145832663
[3.5e+00 1.8e+04 1.0e+03] R^2: -6812.422660577425
[3.5e+00 1.8e+04 1.0e+03] R^2: -6805.462953025776
[3.5e+00 1.8e+04 1.0e+03] R^2: -6744.49122618524
[3.5e+00 1.8e+04 1.0e+03] R^2: -6629.169371939365
[3.5e+00 1.8e+04 1.0e+03] R^2: -6547.0577519959625
[3.5e+00 1.8e+04 1.0e+03] R^2: -6496.4055384571
[3.5e+00 1.8e+04 1.0e+03] R^2: -6429.23488271364
[3.5e+00 1.8e+04 1.0e+03] R^2: -6244.785223576479
[3.5e+00 1.8e+04 1.0e+03] R^2: -6202.261315558074
[3.5e+00 1.8e+04 1.0e+03] R^2: -6130.026820757004
[3.5e+00 1.8e+04 1.0e+03] R^2: -6015.360117322325
[3.5e+00 1.8e+04 1.0e+03] R^2: -5927.807072437092
[3.5e+00 1.8e+04 1.0e+03] R^2: -5863.134348690366
[3.5e+00 1.8e+04 1.0e+03] R^2: -5705.951846928651
[3.5e+00 1.8e+04 1.0e+03] R^2: -5611.946550873686
[3.5e+00 1.8e+04 1.0e+03] R^2: -5517.365033235454
[3.5e+00 1.8e+04 1.0e+03] R^2: -5395.944003294498
[3.5e+00 1.8e+04 1.0e+03] R^2: -5299.475316932157
[3.5e+00 1.8e+04 1.0e+03] R^2: -5152.705838160239
[3.5e+00 1.8e+04 1.0e+03] R^2: -5045.9249054240145
[3.5e+00 1.8e+04 1.0e+03] R^2: -4970.854319685146
[3.5e+00 1.8e+04 1.0e+03] R^2: -4868.3790836487215
[3.5e+00 1.8e+04 1.0e+03] R^2: -4705.883247446061
[3.5e+00 1.8e+04 1.0e+03] R^2: -4576.840301588261
[3.5e+00 1.8e+04 1.0e+03] R^2: -4511.409567467024
[3.5e+00 1.8e+04 1.0e+03] R^2: -4403.996139226567
[3.5e+00 1.8e+04 1.0e+03] R^2: -4307.313429141919
[3.5e+00 1.8e+04 1.0e+03] R^2: -4215.923412403765
[3.5e+00 1.8e+04 1.0e+03] R^2: -4089.7179360369214
[3.5e+00 1.8e+04 1.0e+03] R^2: -3994.9037179582783
[3.5e+00 1.8e+04 1.0e+03] R^2: -3900.7768754956232
[3.5e+00 1.8e+04 1.0e+03] R^2: -3808.1225843540287
[3.5e+00 1.8e+04 1.0e+03] R^2: -3700.474838594129
[3.5e+00 1.8e+04 1.0e+03] R^2: -3573.1830909312293
[3.5e+00 1.8e+04 1.0e+03] R^2: -3479.8379669325836
[3.5e+00 1.8e+04 1.0e+03] R^2: -3371.070013224444
[3.5e+00 1.8e+04 1.0e+03] R^2: -3285.823134128321
[3.5e+00 1.8e+04 1.0e+03] R^2: -3198.2032007206735
[3.5e+00 1.8e+04 1.0e+03] R^2: -3097.024105359058
[3.5e+00 1.8e+04 1.0e+03] R^2: -3003.9418119473376
[3.5e+00 1.8e+04 1.0e+03] R^2: -2912.923320257828
[3.5e+00 1.8e+04 1.0e+03] R^2: -2834.9922294712774
[3.5e+00 1.8e+04 1.0e+03] R^2: -2756.897364343794
[3.5e+00 1.8e+04 1.0e+03] R^2: -2669.8497932881123
[3.5e+00 1.8e+04 1.0e+03] R^2: -2591.4590963887113
[3.5e+00 1.8e+04 1.0e+03] R^2: -2524.173885205384
[3.5e+00 1.8e+04 1.0e+03] R^2: -2457.569154381298
[3.5e+00 1.8e+04 1.0e+03] R^2: -2397.2232848326266
[3.5e+00 1.8e+04 1.0e+03] R^2: -2329.32396745713
[3.5e+00 1.8e+04 1.0e+03] R^2: -2263.440024530503
[3.5e+00 1.8e+04 1.0e+03] R^2: -2205.5691757588893
[3.5e+00 1.8e+04 1.0e+03] R^2: -2143.084496716651
[3.5e+00 1.8e+04 1.0e+03] R^2: -2075.6566076794393
[3.5e+00 1.8e+04 1.0e+03] R^2: -2015.8718654916213
[3.5e+00 1.8e+04 1.0e+03] R^2: -1954.0113271755113
[3.5e+00 1.8e+04 1.0e+03] R^2: -1891.8833632193791
[3.5e+00 1.8e+04 1.0e+03] R^2: -1834.6837742358316
[3.5e+00 1.8e+04 1.0e+03] R^2: -1783.4160020041566
[3.5e+00 1.8e+04 1.0e+03] R^2: -1738.4213184451346
[3.5e+00 1.8e+04 1.0e+03] R^2: -1689.644751473857
[3.5e+00 1.8e+04 1.0e+03] R^2: -1639.1502004791878
[3.5e+00 1.8e+04 1.0e+03] R^2: -1587.4495575390445
[3.5e+00 1.8e+04 1.0e+03] R^2: -1542.943228506804
